Time (s)	Sensor 0	Sensor 1	Sensor 2	Error
0	59	58	54	-11.905
0.2	60	56	58	-17.143
0.4	60	57	61	5.587
0.6	61	59	59	-11.236
0.8	62	58	64	0
1	61	59	68	42.328
1.2	63	60	79	85
1.4	63	59	92	139.535
1.6	62	62	114	217.573
1.8	62	64	130	270.27
2	63	65	103	178.723
2.2	63	69	78	75.117
2.4	65	71	71	28.846
2.6	67	75	68	4.717
2.8	67	85	63	-13.889
3	69	90	62	-40.541
3.2	73	89	65	-30.837
3.4	90	75	72	-80.508
3.6	100	69	76	-109.756
3.8	108	66	74	-131.474
4	117	64	72	-185.771
4.2	122	60	72	-200
4.4	99	60	66	-157.658
4.6	81	59	62	-107.317
4.8	74	59	60	-82.902
5	70	58	61	-47.368
5.2	66	58	57	-55.556
5.4	63	57	56	-44.944
5.6	63	59	56	-39.773
5.8	63	56	59	-16.484
6	64	58	58	-34.091
6.2	63	58	57	-39.548
6.4	64	58	57	-50.279
6.6	67	57	60	-43.243
6.8	70	57	62	-41.667
7	78	59	63	-70
7.2	89	60	67	-100.457
7.4	113	65	70	-169.96
7.6	100	66	70	-129.167
7.8	95	77	70	-116.183
8	88	89	61	-109.244
8.2	80	88	59	-92.105
8.4	74	76	62	-56.338
8.6	70	70	66	-24.272
8.8	67	65	78	38.462
9	63	63	108	185.654
9.2	63	62	91	126.168
9.4	63	57	73	60.914
9.6	62	58	64	26.882
9.8	60	58	59	-11.236
